,censustract,state,county,urban,pop2010,ohu2010,groupquartersflag,numgqtrs,pctgqtrs,lilatracts_1and10,lilatracts_halfand10,lilatracts_1and20,lilatracts_vehicle,hunvflag,lowincometracts,povertyrate,medianfamilyincome,la1and10,lahalfand10,la1and20,latracts_half,latracts1,latracts10,latracts20,latractsvehicle_20,lapop1_10,lapop05_10,lapop1_20,lalowi1_10,lalowi05_10,lalowi1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,tractlowi,tractkids,tractseniors,tractwhite,tractblack,tractasian,tractnhopi,tractaian,tractomultir,tracthispanic,tracthunv,tractsnap
13859,11001000100,District of Columbia,District of Columbia,1,4890,2686,0,24.0,0.49079754601227,0,0,0,0,0,0,5.63435010685836,236731.0,0,0,0,0,0,0,0,0,,80.6723437309265,,,5.9830826073885,,80.6723437309265,1.64974118059154,5.9830826073885,0.1223534275539569,9.39595641195774,0.192146347892796,11.4951836615801,0.23507533050266,70.4325239658356,1.44033791341177,1.39000557363033,0.028425471853381,4.60480660200119,0.0941678241718035,0.0182253234088421,0.0003727060001808,0.329450403340161,0.0067372270621709,3.89733432233334,0.0797000883912747,9.20089030265808,0.188157265903028,9.26068782806396,0.3447761663463869,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.0,585.0,885.0,4444.0,105.0,201.0,2.0,9.0,129.0,296.0,440.0,0.0
13860,11001000201,District of Columbia,District of Columbia,1,3916,2,1,3908.0,99.79570990806948,0,0,0,0,0,0,0.0,,0,1,0,1,0,0,0,0,,3031.32650947571,,,970.024489164352,,3031.32650947571,77.4087464115349,970.024489164352,24.7707990082827,10.9079362154007,0.278547911527086,20.6423468589783,0.5271283671853491,2273.00671768188,58.0440939142463,200.384030610323,5.11705900434941,374.838276520371,9.571968246179049,3.89569145441055,0.0994813956693194,5.45396810770035,0.139273955763543,173.747842788696,4.4368703470045,213.55663742125,5.45343813639557,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,14.0,41.0,2940.0,259.0,482.0,5.0,7.0,223.0,275.0,0.0,0.0
13861,11001000202,District of Columbia,District of Columbia,1,5425,1933,0,1135.0,20.921658986175117,0,0,0,0,0,0,16.8069584736251,250001.0,0,0,0,0,0,0,0,0,,331.021393574774,,,145.674807023257,,331.021393574774,6.10177684008801,145.674807023257,2.68524989904621,3.87699580192566,0.0714653604041596,9.26384314894676,0.170762085694871,249.009299077094,4.5900331627114,21.057323217392,0.388153423362064,38.7325803041458,0.713964613901305,0.0,0.0,0.715640783309937,0.01319153517622,21.506543636322,0.396433984079669,29.4319449663162,0.5425243311763359,10.0526178013533,0.520052653975858,0.596934451896232,0.0308812442781289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861.0,364.0,536.0,4705.0,159.0,375.0,3.0,5.0,178.0,343.0,252.0,18.0
13862,11001000300,District of Columbia,District of Columbia,1,6233,2754,0,0.0,0.0,0,0,0,0,1,0,17.3665929902116,234100.0,0,1,0,1,0,0,0,1,,4124.17849287391,,,852.513855524361,,4124.17849287391,66.16682966266501,852.513855524361,13.677424282438,491.233163036406,7.881167383866609,292.311484862119,4.68973985018641,3633.02167055011,58.286887061609306,96.746046576649,1.55215861666371,223.72420791164,3.58935035956426,1.00000002980232,0.0160436391753942,6.4030340090394,0.102727964207274,163.28352996707,2.61966196000433,288.926630986854,4.635434477568659,416.339540878311,15.1176303877382,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.0,691.0,461.0,5497.0,139.0,352.0,1.0,11.0,233.0,404.0,432.0,0.0
13863,11001000400,District of Columbia,District of Columbia,1,1455,636,0,6.0,0.4123711340206186,0,0,0,0,0,0,9.19943820224719,250001.0,0,1,0,1,0,0,0,0,,955.956667914987,,,105.527605727315,,955.956667914987,65.70148920377919,105.527605727315,7.252756407375601,191.660011900589,13.1725094089752,200.844529921189,13.803747760906502,859.00499452278,59.0381439534557,18.963872730732,1.30335895056577,40.9159225858748,2.81209089937284,0.0,0.0,1.78022949397564,0.122352542541281,35.2916518487036,2.42554308238513,78.9049515901133,5.42302072784284,44.5717951224651,7.00814388718005,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.0,237.0,278.0,1247.0,50.0,103.0,0.0,2.0,53.0,123.0,122.0,0.0
13864,11001000501,District of Columbia,District of Columbia,1,3376,2027,0,105.0,3.110189573459716,0,0,0,0,1,0,4.711893272778879,184423.0,0,1,0,1,0,0,0,1,,1324.11251705885,,,104.847504465608,,1324.11251705885,39.2213423299422,104.847504465608,3.10567252564005,57.7338434159756,1.7101256936011702,73.5597279071808,2.17890189298521,1117.86999243498,33.112262809093004,39.9671151638031,1.18386004632118,109.776336573064,3.2516687373538,0.0513628534972668,0.0015214115372413,0.256814271211624,0.0076070577965528,56.1909077167511,1.6644226219416798,92.6825568675995,2.74533640010662,308.037125133793,15.196700795944402,14.7182564255199,0.726110331796741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,181.0,270.0,2853.0,124.0,249.0,1.0,7.0,142.0,231.0,636.0,31.0
13865,11001000502,District of Columbia,District of Columbia,1,3189,1643,0,6.0,0.1881467544684854,0,0,0,0,1,0,3.38178582023139,250001.0,0,1,0,1,0,0,0,1,,2063.13202099502,,,130.135045581497,,2063.13202099502,64.6952656317034,130.135045581497,4.08074774479452,324.556147746742,10.1773643068906,241.081598383375,7.5597867163178,1772.37740036845,55.5778425954359,52.5528426654637,1.64794113093332,120.004656136036,3.76308109551696,0.0,0.0,13.7677514851093,0.431726293041998,104.429353569634,3.2746739908947697,191.93065071106,6.0185215023850605,216.698364237789,13.1891883285325,9.72032379926532,0.591620438178047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.0,403.0,393.0,2720.0,95.0,192.0,0.0,15.0,167.0,271.0,358.0,16.0
13866,11001000600,District of Columbia,District of Columbia,1,4539,2108,0,182.0,4.009693765146508,0,0,0,0,0,0,5.29857022708158,250001.0,0,0,0,0,0,0,0,0,,3.84314179420471,,,0.275041103363037,,3.84314179420471,0.0846693499494319,0.275041103363037,0.0060595087764493,0.56241101026535,0.0123906369302787,0.356193631887436,0.0078474032140875,3.29947781562805,0.0726917342063902,0.112482205033302,0.002478127451714,0.243711441755295,0.0053692760906652,0.0,0.0,0.0374940671026707,0.000826042456547,0.149976268410683,0.0033041698261882,0.243711441755295,0.0053692760906652,0.611081898212433,0.0289887048487871,0.063091978430748,0.0029929781039254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,363.0,727.0,836.0,3878.0,225.0,207.0,2.0,10.0,217.0,332.0,452.0,67.0
13867,11001000701,District of Columbia,District of Columbia,1,4620,2974,0,2.0,0.0432900432900432,0,0,0,0,1,0,13.2130086838073,154605.0,0,1,0,1,0,0,0,1,,1596.82425689697,,,289.629616975784,,1596.82425689697,34.5632956038306,289.629616975784,6.26903932848018,107.033148527145,2.31673481660488,597.653450608253,12.9362218746375,1432.81280994415,31.0132642845055,50.6139626502991,1.0955403171060398,66.1794422268867,1.43245545945642,0.447580993175507,0.0096879002851841,3.09879735484719,0.0670735358192033,43.6716438531876,0.9452736764759212,86.0695149600506,1.8629765142868095,218.245602488518,7.338453345276321,5.27227902598679,0.1772790526559109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1092.0,365.0,1067.0,3848.0,235.0,288.0,4.0,18.0,227.0,407.0,859.0,17.0
13868,11001000702,District of Columbia,District of Columbia,1,3364,2293,0,0.0,0.0,0,0,0,0,1,0,12.578241430700398,111707.0,0,1,0,1,0,0,0,1,,3363.99998280406,,,844.615389734507,,3363.99998280406,99.9999994888246,844.615389734507,25.1074729409782,159.00000009127,4.7265160550318,281.999998435378,8.38287748024311,2750.99998238683,81.7776451363504,192.000004580244,5.70749121819989,224.000002047047,6.65873965657096,0.999999952386133,0.0297265146369243,7.00000004470348,0.208085613695109,188.99999951385,5.61831151943667,357.000004023314,10.6123663502769,1058.49378314614,46.1619617595352,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787.0,159.0,282.0,2751.0,192.0,224.0,1.0,7.0,189.0,357.0,993.0,0.0
